Table 1
Place,% Insufficient Sleep,Error Margin,state,
Autauga,36%,35-37%,Alabama,
Baldwin,33%,32-34%,Alabama,
Barbour,39%,38-40%,Alabama,
Bibb,38%,37-39%,Alabama,
Blount,36%,35-37%,Alabama,
Bullock,45%,44-46%,Alabama,
Butler,42%,41-43%,Alabama,
Calhoun,41%,40-42%,Alabama,
Chambers,37%,36-38%,Alabama,
Cherokee,35%,34-37%,Alabama,
Chilton,35%,34-36%,Alabama,
Choctaw,38%,37-39%,Alabama,
Clarke,41%,40-42%,Alabama,
Clay,39%,37-40%,Alabama,
Cleburne,34%,32-35%,Alabama,
Coffee,37%,36-38%,Alabama,
Colbert,37%,36-38%,Alabama,
Conecuh,42%,41-43%,Alabama,
Coosa,37%,36-38%,Alabama,
Covington,36%,35-37%,Alabama,
Crenshaw,38%,37-39%,Alabama,
Cullman,35%,34-36%,Alabama,
Dale,41%,40-42%,Alabama,
Dallas,42%,41-43%,Alabama,
DeKalb,36%,35-37%,Alabama,
Elmore,38%,37-39%,Alabama,
Escambia,40%,39-41%,Alabama,
Etowah,41%,40-42%,Alabama,
Fayette,39%,38-40%,Alabama,
Franklin,38%,37-40%,Alabama,
Geneva,37%,36-38%,Alabama,
Greene,45%,44-46%,Alabama,
Hale,42%,41-43%,Alabama,
Henry,38%,37-39%,Alabama,
Houston,37%,36-38%,Alabama,
Jackson,38%,37-39%,Alabama,
Jefferson,36%,36-37%,Alabama,
Lamar,38%,37-39%,Alabama,
Lauderdale,35%,34-36%,Alabama,
Aleutians East,36%,35-37%,Alaska,
Aleutians West,34%,34-35%,Alaska,
Anchorage,30%,29-30%,Alaska,
Bethel,35%,34-36%,Alaska,
Bristol Bay,31%,31-32%,Alaska,
Denali,30%,29-31%,Alaska,
Dillingham,35%,34-36%,Alaska,
Fairbanks North Star,30%,29-31%,Alaska,
Haines,30%,28-31%,Alaska,
Hoonah-Angoon,31%,30-32%,Alaska,
Juneau,31%,30-32%,Alaska,
Kenai Peninsula,30%,29-31%,Alaska,
Ketchikan Gateway,32%,31-33%,Alaska,
Kodiak Island,29%,29-30%,Alaska,
Kusilvak,38%,36-39%,Alaska,
Lake and Peninsula,34%,33-35%,Alaska,
Matanuska-Susitna,35%,34-35%,Alaska,
Nome,36%,34-37%,Alaska,
North Slope,34%,33-35%,Alaska,
Northwest Arctic,35%,34-37%,Alaska,
Petersburg,28%,27-29%,Alaska,
Prince of Wales-Hyder,33%,32-34%,Alaska,
Sitka,30%,29-31%,Alaska,
Skagway,28%,27-30%,Alaska,
Southeast Fairbanks,28%,27-29%,Alaska,
Valdez-Cordova,30%,29-31%,Alaska,
Wrangell,29%,28-30%,Alaska,
Yakutat,33%,32-34%,Alaska,
Yukon-Koyukuk,35%,34-35%,Alaska,
Apache,35%,34-36%,Arizona,
Cochise,31%,30-32%,Arizona,
Coconino,31%,30-31%,Arizona,
Gila,32%,32-33%,Arizona,
Graham,29%,29-30%,Arizona,
Greenlee,34%,33-35%,Arizona,
La Paz,32%,31-33%,Arizona,
Maricopa,34%,34-35%,Arizona,
Mohave,33%,32-34%,Arizona,
Navajo,35%,35-36%,Arizona,
Pima,31%,30-31%,Arizona,
Pinal,35%,35-36%,Arizona,
Santa Cruz,31%,30-33%,Arizona,
Yavapai,30%,29-31%,Arizona,
Yuma,30%,29-31%,Arizona,
Arkansas,36%,35-37%,Arkansas,
Ashley,33%,32-34%,Arkansas,
Baxter,32%,31-33%,Arkansas,
Benton,30%,30-31%,Arkansas,
Boone,30%,29-31%,Arkansas,
Bradley,38%,37-39%,Arkansas,
Calhoun,36%,35-37%,Arkansas,
Carroll,34%,33-35%,Arkansas,
Chicot,37%,37-38%,Arkansas,
Clark,33%,32-34%,Arkansas,
Clay,32%,31-34%,Arkansas,
Cleburne,31%,30-32%,Arkansas,
Cleveland,33%,32-34%,Arkansas,
Columbia,37%,36-38%,Arkansas,
Conway,34%,33-35%,Arkansas,
Craighead,31%,30-32%,Arkansas,
Crawford,34%,33-35%,Arkansas,
Crittenden,36%,35-37%,Arkansas,
Cross,34%,33-35%,Arkansas,
Dallas,36%,35-37%,Arkansas,
Desha,40%,39-41%,Arkansas,
Drew,37%,36-38%,Arkansas,
Faulkner,35%,34-36%,Arkansas,
Franklin,33%,31-34%,Arkansas,
Fulton,32%,31-34%,Arkansas,
Garland,35%,33-36%,Arkansas,
Grant,33%,31-34%,Arkansas,
Greene,35%,34-36%,Arkansas,
Hempstead,37%,36-38%,Arkansas,
Hot Spring,32%,31-33%,Arkansas,
Howard,36%,35-37%,Arkansas,
Independence,35%,34-36%,Arkansas,
Izard,34%,33-36%,Arkansas,
Jackson,36%,35-38%,Arkansas,
Jefferson,39%,38-39%,Arkansas,
Johnson,33%,32-34%,Arkansas,
Lafayette,38%,37-39%,Arkansas,
Lawrence,32%,31-34%,Arkansas,
Lee,40%,39-41%,Arkansas,
Lincoln,36%,35-37%,Arkansas,
Little River,36%,35-37%,Arkansas,
Logan,34%,33-35%,Arkansas,
Lonoke,34%,33-35%,Arkansas,
Madison,36%,34-37%,Arkansas,
Marion,36%,35-37%,Arkansas,
Miller,37%,36-38%,Arkansas,
Mississippi,37%,36-38%,Arkansas,
Monroe,38%,37-39%,Arkansas,
Montgomery,33%,32-34%,Arkansas,
Nevada,36%,35-37%,Arkansas,
Newton,33%,31-34%,Arkansas,
Ouachita,38%,37-39%,Arkansas,
Perry,32%,31-34%,Arkansas,
Phillips,37%,36-38%,Arkansas,
Pike,32%,31-33%,Arkansas,
Poinsett,35%,34-36%,Arkansas,
Polk,34%,33-35%,Arkansas,
Pope,36%,34-37%,Arkansas,
Prairie,34%,33-35%,Arkansas,
Pulaski,35%,35-36%,Arkansas,
Randolph,31%,30-32%,Arkansas,
Saline,31%,30-32%,Arkansas,
Scott,35%,34-36%,Arkansas,
Searcy,32%,30-33%,Arkansas,
Sebastian,33%,32-34%,Arkansas,
Sevier,35%,34-36%,Arkansas,
Sharp,34%,33-35%,Arkansas,
St. Francis,40%,39-41%,Arkansas,
Stone,34%,33-35%,Arkansas,
Union,36%,35-37%,Arkansas,
Van Buren,31%,30-32%,Arkansas,
Washington,34%,33-35%,Arkansas,
White,35%,34-36%,Arkansas,
Woodruff,36%,35-37%,Arkansas,
Yell,37%,36-38%,Arkansas,
Alameda,33%,33-34%,California,
Alpine,31%,30-32%,California,
Amador,30%,29-31%,California,
Butte,32%,31-33%,California,
Calaveras,31%,30-32%,California,
Colusa,33%,32-34%,California,
Contra Costa,32%,31-32%,California,
Del Norte,33%,32-33%,California,
El Dorado,31%,30-32%,California,
Fresno,35%,34-35%,California,
Glenn,34%,33-35%,California,
Humboldt,32%,31-33%,California,
Imperial,34%,33-35%,California,
Inyo,32%,31-33%,California,
Kern,37%,36-38%,California,
Kings,35%,34-36%,California,
Lake,32%,31-33%,California,
Lassen,33%,32-34%,California,
Los Angeles,35%,35-36%,California,
Madera,35%,34-36%,California,
Marin,28%,27-29%,California,
Mariposa,30%,29-31%,California,
Mendocino,31%,30-32%,California,
Merced,36%,35-37%,California,
Modoc,30%,29-32%,California,
Mono,31%,30-32%,California,
Monterey,32%,31-33%,California,
Napa,31%,30-32%,California,
Nevada,27%,26-28%,California,
Orange,31%,30-31%,California,
Placer,29%,28-30%,California,
Plumas,30%,28-31%,California,
Riverside,37%,37-38%,California,
Sacramento,35%,35-36%,California,
San Benito,31%,30-32%,California,
San Bernardino,37%,37-38%,California,
San Diego,32%,32-33%,California,
San Francisco,29%,28-30%,California,
San Joaquin,34%,34-35%,California,
San Luis Obispo,27%,27-28%,California,
San Mateo,30%,30-31%,California,
Santa Barbara,27%,26-28%,California,
Santa Clara,30%,30-31%,California,
Santa Cruz,27%,27-28%,California,
Shasta,30%,29-31%,California,
Sierra,29%,28-30%,California,
Siskiyou,32%,31-33%,California,
Solano,35%,35-36%,California,
Sonoma,31%,31-32%,California,
Stanislaus,35%,34-36%,California,
Sutter,33%,32-33%,California,
Tehama,31%,30-32%,California,
Trinity,31%,30-32%,California,
Tulare,33%,32-34%,California,
Tuolumne,31%,30-32%,California,
Ventura,33%,32-33%,California,
Yolo,30%,30-31%,California,
Yuba,34%,33-35%,California,
Adams,31%,31-32%,Colorado,
Alamosa,32%,31-33%,Colorado,
Arapahoe,28%,28-29%,Colorado,
Archuleta,25%,24-25%,Colorado,
Baca,26%,25-27%,Colorado,
Bent,31%,30-32%,Colorado,
Boulder,23%,23-24%,Colorado,
Broomfield,26%,25-27%,Colorado,
Chaffee,25%,24-26%,Colorado,
Cheyenne,26%,25-27%,Colorado,
Clear Creek,26%,25-27%,Colorado,
Conejos,29%,28-29%,Colorado,
Costilla,29%,28-30%,Colorado,
Crowley,32%,31-33%,Colorado,
Custer,25%,24-26%,Colorado,
Delta,28%,27-29%,Colorado,
Denver,28%,27-28%,Colorado,
Dolores,27%,26-28%,Colorado,
Douglas,25%,24-26%,Colorado,
